       T1       T2     T3       T4       T5     T6    T7       T8       T9       T10      T11      T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -----  ----  -------  -------  -------  -------  -------  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   39.4402  14.6294  -        -        -      -     -        -        -        -        -        -        -      -      -        -        -        -      -            37.6176          43.608           62.1789            6              82
T2   40.925   95.3542  65.0656  -        -      -     -        -        -        -        -        -        -      -      -        -        -        -      -            23.6643          33.7615          250.718           15              500
T3   42.5211  91.2939  76.0     19.7172  -      -     -        -        -        -        -        -        -      -      -        -        -        -      -            31.0413          38.6667          59.0225            4              500
T4   39.5573  88.9245  76.0     48.0     41.0   -     -        -        -        -        -        -        -      -      -        -        -        -      -            37.4701          40.7829          62.2307            4              500
T5    42.58   92.8497  76.0     48.0     100.0  16.0  -        -        -        -        -        -        -      -      -        -        -        -      -            36.1321          41.5319          124.424            8              500
T6   43.2183  87.3576  76.0     48.0     100.0  22.0  14.4241  -        -        -        -        -        -      -      -        -        -        -      -            36.5023          42.0799          136.165            7              500
T7   40.4628  84.2735  76.0     48.5714  100.0  28.0  13.7253  11.6464  -        -        -        -        -      -      -        -        -        -      -            36.4291          40.7452          173.699            8              500
T8   41.9419  64.3842  76.0     48.0     100.0  32.0  12.4469  20.7703  10.7959  -        -        -        -      -      -        -        -        -      -            35.622           38.9718          170.757           10              500
T9   38.4353  51.3245  76.0     27.3543  96.0   32.0  8.8426   18.8834  24.5412  6.9808   -        -        -      -      -        -        -        -      -            35.5569          39.8133          132.639            8              500
T10  38.0408  53.263   76.0     25.7987  96.0   32.0  8.7154   17.553   24.233   7.2765   40.1413  -        -      -      -        -        -        -      -            35.1716          39.9083          41.977             4              58
T11  38.9631  38.0528  76.0     33.3543  90.0   34.0  11.1658  18.9727  22.3039  6.4952   44.0     12.785   -      -      -        -        -        -      -            36.1831          41.1367          77.8573            4              500
T12  37.3117  40.4421  76.0     27.2987  82.0   32.0  7.3572   18.2958  23.2214  7.0485   46.0     13.5431  0.0    -      -        -        -        -      -            35.4623          40.7515          55.8804            6              78
T13  38.9828  38.3416  76.0     26.7698  92.0   32.0  8.7048   17.5143  22.6855  6.6642   46.0     14.073   0.0    36.0   -        -        -        -      -            36.9894          40.8516          36.3709            4              100
T14  38.9149  24.9046  24.0     48.5714  76.0   32.0  8.481    18.3937  23.5593  6.4483   46.0     12.5209  0.0    60.0   24.8254  -        -        -      -            36.4466          42.0616          78.7644            4              500
T15  39.9859  30.7474  24.0     48.5714  82.0   32.0  9.8731   15.0309  23.9434  6.9539   46.0     13.9915  0.0    60.0   28.7168  10.5255  -        -      -            36.2977          42.1288          45.8646            4              500
T16   42.96   29.6731  24.0     18.2652  70.0   30.0  11.2283  22.6744  23.7243  5.714    46.0     14.2363  0.0    62.0   28.3522  14.3276  16.8218  -      -            36.7062          41.6459          107.672            8              500
T17  42.8883  71.2208  32.0     21.319   86.0   32.0  14.9036  18.7672  21.9299  10.8081  46.0     11.7687  2.0    58.0   31.7383  16.4832  29.8683  22.0   -            36.8737          41.2888          102.921            5              500
T18  43.4407  64.1984  24.0     8.0      68.0   22.0  16.4749  20.4312  21.2795  9.486    46.0     13.8477  0.0    6.0    30.1123  15.2427  34.8944  92.0   18.2928      36.8244          39.0554          306.97            15              500
T19  43.029   58.2135  24.0     8.9127   60.0   34.0  15.2786  19.03    22.6026  9.0691   60.0     13.4075  0.0    6.0    29.2155  18.295   28.2106  92.0   29.3824      36.2759          38.9714          148.828           11              500
