       T1       T2     T3       T4       T5     T6    T7       T8       T9       T10     T11      T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -----  ----  -------  -------  -------  ------  -------  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   37.4727  14.3903  -        -        -      -     -        -        -        -       -        -        -      -      -        -        -        -      -            36.6855          43.2067          62.1789            6              82
T2   39.2387  95.3542  65.0656  -        -      -     -        -        -        -       -        -        -      -      -        -        -        -      -            22.3843          33.2622          250.718           15              500
T3   40.5518  91.2939  76.0     19.4095  -      -     -        -        -        -       -        -        -      -      -        -        -        -      -            29.8277          38.2178          59.0225            4              500
T4   37.2634  88.9245  76.0     48.0     41.0   -     -        -        -        -       -        -        -      -      -        -        -        -      -            36.4179          40.3642          62.2307            4              500
T5   40.6355  92.7321  76.0     48.0     100.0  16.0  -        -        -        -       -        -        -      -      -        -        -        -      -            35.078           41.0858          124.424            8              500
T6   40.339   87.2399  76.0     48.0     100.0  22.0  13.1163  -        -        -       -        -        -      -      -        -        -        -      -            35.5044          41.6992          136.165            7              500
T7   38.1418  83.9926  76.0     48.5714  100.0  28.0  12.8847  9.4034   -        -       -        -        -      -      -        -        -        -      -            35.3058          40.3255          173.699            8              500
T8   39.7198  63.5297  76.0     48.0     100.0  32.0  12.1063  18.8265  9.9388   -       -        -        -      -      -        -        -        -      -            34.4988          38.5443          170.757           10              500
T9   36.9316  50.7318  76.0     27.3543  96.0   32.0  8.676    15.9872  23.3369  6.4514  -        -        -      -      -        -        -        -      -            34.4096          39.4154          132.639            8              500
T10  36.5488  52.5886  76.0     25.7987  96.0   32.0  8.5487   14.8921  23.0287  6.6815  40.1413  -        -      -      -        -        -        -      -            34.0401          39.5009          41.977             4              58
T11  37.069   37.5406  76.0     33.3543  90.0   34.0  10.9992  16.287   21.2107  5.9223  44.0     11.0378  -      -      -        -        -        -      -            35.2543          40.7105          77.8573            4              500
T12  35.808   39.579   76.0     27.2987  82.0   32.0  7.318    16.4048  21.7818  6.4535  46.0     11.8921  0.0    -      -        -        -        -      -            34.5083          40.3358          55.8804            6              78
T13  36.9934  37.5866  76.0     26.7698  92.0   32.0  8.4989   15.0639  21.5923  6.0912  46.0     12.1044  0.0    36.0   -        -        -        -      -            36.0282          40.455           36.3709            4              100
T14  37.1254  24.3864  24.0     48.5714  76.0   32.0  8.2751   15.7398  22.4662  5.7533  46.0     10.5024  0.0    60.0   23.4394  -        -        -      -            35.5862          41.6522          78.7644            4              500
T15  38.1101  30.2588  24.0     48.5714  82.0   32.0  9.6913   13.1913  22.8502  6.2879  46.0     12.4786  0.0    60.0   27.6701  10.0989  -        -      -            35.426           41.6956          45.8646            4              500
T16  42.0486  29.006   24.0     18.2652  70.0   30.0  11.006   20.572   22.4026  5.3367  46.0     12.1407  0.0    62.0   26.9551  13.4942  15.9868  -      -            35.7311          41.2919          107.672            8              500
T17  40.9021  70.7033  32.0     21.319   86.0   32.0  13.9817  17.7871  21.3772  9.6721  46.0     9.8395   2.0    58.0   30.2799  15.792   29.6944  22.0   -            35.6799          40.7873          102.921            5              500
T18  41.4379  63.5718  24.0     8.0      68.0   22.0  15.2737  19.4423  20.3942  8.1678  46.0     11.7398  0.0    6.0    28.3439  14.6965  34.7205  92.0   18.2928      35.7488          38.5465          306.97            15              500
T19  41.4907  57.8088  24.0     8.9127   60.0   34.0  14.0785  17.0981  21.1803  7.4025  60.0     11.6612  0.0    6.0    27.5532  17.2319  28.0367  92.0   28.6888      35.4808          38.5787          148.828           11              500
