      T1    T2   T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    46    28   -        -        -        -       -        -        -        -        -      -        -        -      -        -      -        -      -            35.6379          43.4296          424.302          3.64            5494
T2    52    30   26.5967  -        -        -       -        -        -        -        -      -        -        -      -        -      -        -      -            34.6348          43.384            544.9           5.05            5544
T3    56    28   24.4666  19.1467  -        -       -        -        -        -        -      -        -        -      -        -      -        -      -            33.6825          43.8501          734.573          7.14            5594
T4    50    30   23.1152  32.5748  11.7541  -       -        -        -        -        -      -        -        -      -        -      -        -      -            33.152           43.4099          1113.06          10.62           5644
T5    52    30   22.7761  26.8031  23.3688  5.8826  -        -        -        -        -      -        -        -      -        -      -        -      -            32.7178          43.7424          686.576          6.32            5694
T6    68    30   21.5372  26.5835  23.3028  7.1335  11.1964  -        -        -        -      -        -        -      -        -      -        -      -            32.7831          44.1657          527.273          5.28            5302
T7    72    30   22.7207  24.7409  23.5389  6.6474  25.6048  48.0     -        -        -      -        -        -      -        -      -        -      -            32.4448          44.3149          508.019          4.14            5794
T8    68    30   22.272   21.3386  21.4419  7.5624  21.8546  48.0     35.9991  -        -      -        -        -      -        -      -        -      -            32.8817          44.1361          299.643          2.74            5844
T9    58    30   21.5095  30.17    21.406   7.9076  20.3989  48.0     88.0643  10.5967  -      -        -        -      -        -      -        -      -            33.5785          45.1921          761.527          6.78            5894
T10   66    32   23.4005  19.5996  22.7049  6.7906  24.8493  28.1333  90.9224  19.8562  4.0    -        -        -      -        -      -        -      -            32.856           46.2474          1110.52          10.09           5944
T11   52    30   23.3545  19.549   22.105   8.1483  26.2224  46.0     91.08    21.2385  92.0   8.6842   -        -      -        -      -        -      -            31.6032          46.6036          1272.01           10             5994
T12   66    28   25.0775  20.1641  20.9917  9.323   26.7128  46.0     88.8141  22.9602  82.0   10.3922  7.3995   -      -        -      -        -      -            31.9154          46.7889          704.357           6.4            5622
T13   68    32   25.3604  18.1803  22.0587  9.0288  29.2973  46.0     90.4002  19.7661  86.0   9.7631   10.5773  32.0   -        -      -        -      -            31.5126          46.5395          817.682          6.56            6094
T14   54    28   24.6268  22.9787  21.6119  8.7619  26.5676  46.0     89.5706  20.1665  80.0   11.5188  10.9006  60.0   33.8499  -      -        -      -            31.5553          46.9387          516.14           3.91            6144
T15   72    32   22.2883  16.7563  23.4403  8.4031  27.14    46.0     89.8564  20.3297  84.0   14.3269  13.5375  52.0   45.8739  20.0   -        -      -            31.0813          46.6597          1192.53          10.39           5776
T16   70    24   22.6919  18.3242  20.9374  7.601   26.4116  46.0     85.8977  19.6338  84.0   14.4277  12.0527  38.0   46.3514  2.0    11.9501  -      -            31.3754          47.2549          324.336          2.74            5844
T17   72    28   24.8003  17.6137  21.348   8.8246  27.161   46.0     90.4002  20.4154  82.0   14.7617  12.1705  52.0   46.2862  2.0    18.5174  56.0   -            31.4599          46.8026          392.713          3.18            6294
T18   60    28   24.4647  16.1311  21.2872  8.6526  26.7736  46.0     88.4766  21.2546  84.0   14.9464  11.9093  46.0   42.1523  0.0    18.5301  78.0   41.5714      30.7047          47.4768          478.267          3.78            6344
T19   74    30   24.3288  16.7587  23.3873  9.546   29.0975  46.0     88.2529  19.9193  82.0   13.988   12.8392  66.0   44.6591  0.0    12.2463  78.0   98.0         30.7924          47.6587          812.788          6.25            6394
