      T1    T2   T3       T4       T5       T6       T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    48    32   -        -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.3398          42.8544          328.967          2.91            5494
T2    54    26   26.4432  -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          34.8519          43.6394          770.161          7.22            5544
T3    54    30   27.9954  18.6967  -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          33.9725          43.8002          294.442          2.86            5594
T4    48    28   25.6977  30.5009  12.1541  -        -        -        -        -        -       -        -        -      -        -      -        -      -          34.0145          43.4597          586.736          5.67            5644
T5    48    32   25.6772  28.8871  19.1842  6.2305   -        -        -        -        -       -        -        -      -        -      -        -      -          33.9633          43.8326          466.149          4.21            5694
T6    50    32   25.8662  29.7551  20.7787  5.4024   13.5944  -        -        -        -       -        -        -      -        -      -        -      -          33.2421          43.9491          309.037          3.02            5302
T7    54    28   26.1803  29.1773  22.6067  6.9279   23.9463  40.0     -        -        -       -        -        -      -        -      -        -      -          33.8671          43.9224          593.99           4.83            5794
T8    56    30   24.6139  28.9316  22.0547  6.6798   29.755   48.0     22.6343  -        -       -        -        -      -        -      -        -      -          33.6318          43.1824          303.546          2.74            5844
T9    68    30   26.6533  28.4472  21.8134  8.644    34.0496  48.0     90.3529  11.0536  -       -        -        -      -        -      -        -      -          33.6523          44.4145          1088.12           9.5            5894
T10   70    30   25.1224  28.555   21.8484  7.0104   30.8485  48.0     92.7803  10.9203  7.4444  -        -        -      -        -      -        -      -          33.5762          44.7009          299.939          2.69            5944
T11   64    32   24.5926  27.9906  22.546   8.0603   28.4236  48.0     92.3359  12.3078  71.0    9.62     -        -      -        -      -        -      -          33.4155          44.285           608.122          4.67            5994
T12   54    16   24.3388  25.641   22.7411  8.2513   32.154   48.0     92.5276  13.3587  63.0    12.1076  13.0453  -      -        -      -        -      -          33.0934          43.7641          471.275          4.27            5622
T13   50    28   26.1613  29.039   19.2193  7.1694   28.2466  41.3333  88.7454  13.3065  61.0    12.3126  13.1952  34.0   -        -      -        -      -          33.583           43.8387          330.118          2.62            6094
T14   60    26   26.1994  24.3517  20.7046  7.7062   27.5435  48.0     93.1029  12.9321  61.0    11.1906  12.5526  58.0   31.6525  -      -        -      -          32.9861          44.0247          512.121          3.91            6144
T15   70    26   26.5564  26.7388  19.1662  7.2546   31.3828  48.0     92.5939  12.7424  59.0    12.0091  11.7401  60.0   48.8732  0.0    -        -      -          33.0996          44.8322          652.792          5.54            5776
T16   70    34   26.3394  26.8135  18.558   7.1728   31.3656  48.0     93.2947  13.7403  62.0    11.8037  11.316   60.0   49.5062  0.0    12.8997  -      -          32.9144          45.3116          328.808          2.74            5844
T17   70    26   27.5818  29.6981  18.7289  10.3394  32.6346  48.0     92.9921  19.1147  60.0    12.2301  10.8396  60.0   48.5799  0.0    13.6555  76.0   -          33.0071          45.3709          567.169          4.45            6294
T18   62    28   27.581   28.3564  18.4457  10.6976  29.3181  48.0     89.0791  18.8943  62.0    12.2262  11.1018  60.0   49.1931  0.0    14.7977  76.0   43.0       32.7287          45.6854          323.104          2.52            6344
T19   68    32   27.6866  26.8168  18.5489  9.294    34.1338  48.0     93.0384  15.7369  74.0    11.3519  12.4213  60.0   48.4682  0.0    16.2104  78.0   94.0       32.868           46.6089          666.271            5             6394
