      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50    4    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.0672           32.88           417.245          3.64            5494
T2    48    0    4.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.4286           33.12           358.561          3.61            5544
T3    48    0    0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.7311           33.16           507.425            5             5594
T4    46    0    0.0   0.0   28.0  -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.7311           33.4            294.48           2.83            5644
T5    50    0    0.0   0.0   36.0  0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          23.2941           32.6            308.132          2.81            5694
T6    46    0    0.0   0.0   32.0  0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.7899           33.2            600.274          6.03            5302
T7    48    0    0.0   0.0   30.0  0.0   0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          22.2521           33.36           440.176          4.14            5794
T8    48    0    0.0   0.0   30.0  0.0   0.0   0.0   34.0  -      -      -      -      -      -      -      -      -      -          22.3866           33.28           378.972          3.69            5422
T9    46    0    0.0   0.0   32.0  0.0   0.0   0.0   48.0  4.0    -      -      -      -      -      -      -      -      -          22.521            33.76           296.226          2.71            5894
T10   50    2    0.0   0.0   30.0  0.0   0.0   0.0   48.0  84.0   76.0   -      -      -      -      -      -      -      -          21.8824           33.44           851.182          6.73            5944
T11   46    4    0.0   0.0   32.0  0.0   0.0   0.0   48.0  82.0   76.0   0.0    -      -      -      -      -      -      -          21.9832           33.6            298.917          2.67            5994
T12   46    6    0.0   0.0   32.0  0.0   0.0   0.0   48.0  78.0   76.0   2.0    16.0   -      -      -      -      -      -          21.5798           35.08           844.656          7.81            5626
T13   46    6    0.0   0.0   32.0  0.0   0.0   0.0   48.0  74.0   76.0   2.0    62.0   0.0    -      -      -      -      -          21.8824           34.88           417.531          3.28            6094
T14   48    8    0.0   0.0   26.0  0.0   0.0   0.0   48.0  84.0   76.0   4.0    58.0   70.0   0.0    -      -      -      -          21.7479           34.64           930.664          7.81            6144
T15   54    8    0.0   0.0   30.0  0.0   0.0   0.0   42.0  74.0   78.0   2.0    62.0   64.0   0.0    0.0    -      -      -          20.9412           35.44           885.038           7.1            6194
T16   48    8    0.0   0.0   32.0  0.0   0.0   0.0   48.0  74.0   76.0   2.0    60.0   68.0   0.0    0.0    2.0    -      -          21.042            35.48           493.794          3.84            6244
T17   54    8    0.0   0.0   32.0  0.0   0.0   0.0   48.0  76.0   78.0   2.0    62.0   66.0   0.0    0.0    0.0    22.0   -          21.2101           35.72           327.548          2.71            5894
T18   56    8    0.0   0.0   28.0  0.0   0.0   0.0   48.0  84.0   78.0   2.0    58.0   62.0   0.0    0.0    0.0    98.0   0.0        21.1429           36.2            653.367          5.04            6344
T19   60    8    0.0   0.0   28.0  0.0   0.0   0.0   48.0  86.0   78.0   2.0    60.0   52.0   0.0    0.0    0.0    100.0  18.0       20.6387           35.88           877.576          6.25            6394
