      T1     T2     T3       T4       T5    T6       T7       T8       T9       T10     T11    T12      T13    T14      T15      T16      T17    T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  ----  -------  -------  -------  -------  ------  -----  -------  -----  -------  -------  -------  -----  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    50   7.0037   -        -        -     -        -        -        -        -       -      -        -      -        -        -        -      -      -            35.5235          43.1745          417.245          3.64            5494
T2    48   12.3028  17.6642  -        -     -        -        -        -        -       -      -        -      -        -        -        -      -      -            34.7642          43.0852          358.561          3.61            5544
T3    48   13.8823  29.2728  23.4891  -     -        -        -        -        -       -      -        -      -        -        -        -      -      -            35.1185          43.5008          507.425            5             5594
T4    46   13.7998  28.5299  27.8384  28.0  -        -        -        -        -       -      -        -      -        -        -        -      -      -            35.0362          43.5864          294.48           2.83            5644
T5    50   15.6618  28.5244  27.3282  36.0  7.0551   -        -        -        -       -      -        -      -        -        -        -      -      -            34.7535          42.9047          308.132          2.81            5694
T6    46   12.2317  27.0742  29.1514  32.0  8.1252   9.8356   -        -        -       -      -        -      -        -        -        -      -      -            34.389           43.2963          600.274          6.03            5302
T7    48   14.2155  26.9227  27.0714  30.0  6.8684   16.6939  10.0068  -        -       -      -        -      -        -        -        -      -      -            33.5167          43.9189          440.176          4.14            5794
T8    48   12.5305  25.3679  27.8759  30.0  6.1544   15.4482  11.9438  34.0     -       -      -        -      -        -        -        -      -      -            33.6448          43.5524          378.972          3.69            5422
T9    46   14.163   25.4065  27.5513  32.0  5.9379   15.6474  12.4014  48.5714  8.4444  -      -        -      -        -        -        -      -      -            33.5948          43.9214          296.226          2.71            5894
T10   50   13.0816  26.2361  27.1862  30.0  7.7115   11.4063  11.7422  48.0     84.0    76.0   -        -      -        -        -        -      -      -            32.8667          43.6905          851.182          6.73            5944
T11   46   14.3067  26.8035  26.8132  32.0  8.2527   11.4229  11.9598  48.0     82.0    76.0   37.8654  -      -        -        -        -      -      -            32.748           43.8348          298.917          2.67            5994
T12   46   14.4776  25.8949  28.6819  32.0  9.7354   13.2027  11.5139  48.0     78.0    76.0   47.3229  16.0   -        -        -        -      -      -            32.3635          45.4026          844.656          7.81            5626
T13   46   14.9796  25.1061  27.1919  32.0  10.1968  15.2749  11.7777  48.0     74.0    76.0   47.0672  62.0   13.0849  -        -        -      -      -            32.7422          45.0641          417.531          3.28            6094
T14   48   17.1709  23.3141  26.761   26.0  9.2833   13.8677  11.8167  48.5714  84.0    76.0   49.6288  58.0   90.965   12.406   -        -      -      -            33.4064          45.0093          930.664          7.81            6144
T15   54   20.1962  22.0916  27.65    30.0  9.4567   12.1311  11.7148  43.5714  74.0    78.0   47.7594  62.0   86.7068  21.6694  13.6618  -      -      -            32.5811          45.5184          885.038           7.1            6194
T16   48   19.8628  22.4495  27.5666  32.0  9.7628   14.6342  11.8016  48.0     74.0    76.0   44.345   60.0   86.1115  21.6694  13.3316  2.0    -      -            32.7001          45.6398          493.794          3.84            6244
T17   54   19.5962  22.3067  27.8969  32.0  10.1377  14.9524  11.6209  48.0     76.0    78.0   43.8939  62.0   85.3473  22.4854  15.0194  0.0    41.0   -            32.8482          45.9171          327.548          2.71            5894
T18   56   17.8538  21.5365  28.2428  28.0  9.0388   13.8166  12.3124  48.0     84.0    78.0   39.8132  58.0   86.6133  19.6906  13.9022  0.0    98.0   13.3867      32.4856          46.4721          653.367          5.04            6344
T19   60   18.1757  23.6905  26.6014  28.0  9.5165   12.6717  12.6517  48.0     86.0    78.0   40.7704  60.0   84.3409  20.3266  12.148   0.0    100.0  25.2805      32.1557          46.0448          877.576          6.25            6394
