       T1       T2     T3    T4       T5       T6    T7       T8       T9       T10      T11      T12      T13    T14    T15      T16      T17      T18     T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  ----  -------  -------  ----  -------  -------  -------  -------  -------  -------  -----  -----  -------  -------  -------  ------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   44.1094  17.0379  -     -        -        -     -        -        -        -        -        -        -      -      -        -        -        -       -            35.2496          43.4395          738.027          7.87            5076
T2   34.9386  93.454   76.0  -        -        -     -        -        -        -        -        -        -      -      -        -        -        -       -            34.383           44.4286          1404.87          13.71           5544
T3   34.8543  95.5877  76.0  28.2027  -        -     -        -        -        -        -        -        -      -      -        -        -        -       -            34.0518          43.6854          291.174          2.86            5594
T4   36.1309  94.9299  76.0  48.0     42.6667  -     -        -        -        -        -        -        -      -      -        -        -        -       -            34.466           43.947           292.86           2.83            5644
T5   38.056   95.1203  76.0  48.0     100.0    30.0  -        -        -        -        -        -        -      -      -        -        -        -       -            34.0598          43.9264          530.943          4.92            5694
T6   37.0707  95.1203  76.0  48.0     100.0    32.0  11.1309  -        -        -        -        -        -      -      -        -        -        -       -            33.8713          43.8751          302.564          2.79            5744
T7   43.5281  92.8158  76.0  48.0     100.0    30.0  12.4946  11.045   -        -        -        -        -      -      -        -        -        -       -            33.848           43.9574          478.815          4.14            5794
T8   37.4628  93.6898  76.0  48.0     96.0     30.0  14.4608  18.4802  13.8693  -        -        -        -      -      -        -        -        -       -            33.5815          46.1302          1178.31          10.94           5844
T9   40.0781  92.5319  78.0  48.0     98.0     32.0  13.4595  17.747   24.6458  7.3007   -        -        -      -      -        -        -        -       -            32.8707          46.7086          1157.24          10.18           5894
T10  36.0576  91.6386  78.0  48.0     98.0     30.0  11.5801  20.1105  22.2427  7.1547   40.5714  -        -      -      -        -        -        -       -            33.1571          46.5572          532.529          5.09            5502
T11  36.1645  90.3343  78.0  48.0     100.0    32.0  11.2331  18.2888  23.6509  6.0573   48.0     11.5655  -      -      -        -        -        -       -            32.137           46.7394          508.797            4             5994
T12  37.8444  90.6386  78.0  48.0     100.0    30.0  10.6695  18.1201  23.8364  6.5472   44.0     12.2857  6.0    -      -        -        -        -       -            32.3979          46.6778          320.823          2.84            5622
T13  36.9516  91.102   78.0  48.0     100.0    32.0  10.9701  18.12    23.7993  5.762    46.0     12.6476  2.0    38.0   -        -        -        -       -            32.5503          47.0726          314.816          2.81            5694
T14  38.7701  91.6386  76.0  48.0     94.0     32.0  10.8416  18.0527  22.1071  5.7713   44.0     13.1571  0.0    58.0   22.6992  -        -        -       -            32.8867          46.3902          342.161           2.6            6144
T15  36.815   91.6386  78.0  48.0     96.0     32.0  9.8381   19.0432  22.1496  7.2398   44.0     12.8433  0.0    42.0   22.8684  11.5833  -        -       -            32.6093          47.2523          478.064          3.87            6194
T16  37.2088  92.3972  78.0  48.0     96.0     34.0  10.1722  16.2083  19.4595  6.0911   48.0     11.4909  0.0    54.0   25.1469  13.3363  17.0431  -       -            32.2322          46.6014          396.037           3.2            6244
T17  38.1722  87.1699  80.0  48.0     100.0    32.0  14.3011  12.6122  16.9578  7.9038   44.0     11.6319  0.0    60.0   25.8056  16.1157  15.4924  3.3333  -            32.6435          47.1816          1058.91          7.62            6294
T18  39.142   88.4432  76.0  48.0     98.0     26.0  13.1289  17.5136  20.3666  10.3706  46.0     11.4816  0.0    60.0   24.2832  15.7339  24.1537  88.0    17.6495      32.0514          46.9817          1416.78          10.09           6344
T19  41.6885  88.3242  78.0  48.0     100.0    32.0  12.7535  20.372   23.5708  10.1124  48.0     11.7737  0.0    62.0   25.2696  21.6113  25.0394  90.0    28.6943      31.3364          46.8515          655.594            5             6394
