      T1    T2   T3       T4       T5       T6       T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    48    28   -        -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          36.1205          42.6346          160.77             4             1500
T2    48    36   28.9323  -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.9503          42.9112          170.045            5             1510
T3    48    28   25.2235  18.6967  -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          36.2015          43.3992          122.554            4             1520
T4    54    32   24.9551  31.8857  12.1978  -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.9867          42.8592          292.466            9             1530
T5    56    32   24.0606  31.6232  23.941   8.269    -        -        -        -        -       -        -        -      -        -      -        -      -          36.3452          43.4308          258.198            7             1540
T6    54    32   22.1658  31.6878  21.6329  10.6755  16.2749  -        -        -        -       -        -        -      -        -      -        -      -          34.9322          43.016           360.589           13             1108
T7    60    30   22.2344  31.6555  19.3307  11.2431  26.2952  44.0     -        -        -       -        -        -      -        -      -        -      -          35.0374          42.9988          408.61            10             1560
T8    58    32   22.0997  31.7213  19.2212  11.0475  28.3026  48.0     40.5198  -        -       -        -        -      -        -      -        -      -          35.5971          42.5465           140.1             4             1570
T9    58    30   21.9551  33.8012  15.328   11.4116  31.124   48.6667  93.9668  12.474   -       -        -        -      -        -      -        -      -          35.601           42.7091          550.243           15             1580
T10   60    26   26.6283  33.3151  16.9506  10.7005  30.5843  48.0     94.4249  21.1151  9.9767  -        -        -      -        -      -        -      -          34.6357          43.4401          535.929           15             1590
T11   56    26   22.818   32.582   17.4124  10.1149  30.6642  48.0     93.4024  25.9409  90.0    12.2006  -        -      -        -      -        -      -          34.7755          42.9186          426.314           10             1600
T12   54    22   22.0313  32.7671  18.0756  10.3492  28.8381  48.6667  93.9878  25.8681  82.0    11.4307  13.9205  -      -        -      -        -      -          34.7912          42.8788          128.559            4             1188
T13   60    28   25.9849  34.2268  19.1578  10.0127  30.1023  48.6667  90.298   24.5515  82.0    9.588    14.1637  22.0   -        -      -        -      -          34.4801           43.27           324.874            8             1620
T14   58    20   24.3791  33.7275  19.618   10.4983  27.8399  48.0     90.5543  25.1209  80.0    9.7588   15.2196  60.0   38.9583  -      -        -      -          34.2037          44.3043          167.083            4             1630
T15   54    16   22.5834  31.8962  16.6375  10.2891  27.6709  44.0     92.8689  26.3732  74.0    12.5236  12.7244  40.0   48.2038  2.0    -        -      -          34.243           43.3106          256.406            8             1222
T16   56    14   23.8711  31.3945  18.9618  10.4692  27.7894  43.9487  90.9736  25.0147  74.0    12.1332  11.7406  38.0   50.2882  2.0    11.7109  -      -          34.536           43.3059          145.618            4             1250
T17   54    26   26.0002  29.2062  17.8442  10.6512  31.6947  41.3333  94.7249  19.5649  82.0    11.5912  11.9092  38.0   50.8172  2.0    16.5572  76.0   -          34.0016          43.3203          228.001            6             1660
T18   56    30   26.5662  30.4639  19.2731  10.6488  28.0434  42.6667  91.9497  20.1325  82.0    11.9433  13.2792  40.0   51.3569  2.0    16.9278  76.0   41.0       33.4961          42.7085          157.875            4             1670
T19   54    28   25.6689  31.7844  19.1928  11.3517  24.7322  48.0     91.9194  21.2248  84.0    12.0052  11.742   40.0   52.5439  2.0    17.3426  78.0   100.0      32.6767          43.8754          286.656            7             1680
