      T1    T2   T3       T4       T5       T6       T7       T8    T9       T10      T11      T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  -------  -------  -------  -------  -------  ----  -------  -------  -------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50    30   -        -        -        -        -        -     -        -        -        -        -        -      -        -      -        -      -          35.2118          42.4633          153.772            4             1500
T2    50    16   27.1487  -        -        -        -        -     -        -        -        -        -        -      -        -      -        -      -          35.6597          42.8885          289.922            8             1510
T3    50    34   27.5643  18.9467  -        -        -        -     -        -        -        -        -        -      -        -      -        -      -          35.1168           42.89           124.761            4             1520
T4    50    32   23.884   29.908   14.0287  -        -        -     -        -        -        -        -        -      -        -      -        -      -          35.465           42.7371          250.747            8             1530
T5    50    32   24.184   27.1523  24.996   6.5725   -        -     -        -        -        -        -        -      -        -      -        -      -          34.3588          42.4512          540.567           15             1540
T6    48    32   25.6022  27.3803  21.7223  6.458    15.5948  -     -        -        -        -        -        -      -        -      -        -      -          33.8362          42.6042          164.221            6             1108
T7    50    32   25.0255  28.2006  20.8453  7.0872   26.3104  46.0  -        -        -        -        -        -      -        -      -        -      -          34.7529          42.9577          281.114            7             1560
T8    46    32   24.9595  26.9708  20.6172  7.6888   28.5035  48.0  27.6688  -        -        -        -        -      -        -      -        -      -          34.8925          42.5898          143.721            4             1570
T9    50    32   25.323   26.962   18.3245  8.9916   26.645   48.0  92.0354  9.4246   -        -        -        -      -        -      -        -      -          35.1641          42.0831          328.568            9             1580
T10   50    32   23.7685  23.4678  20.4282  6.5997   27.8406  48.0  85.9569  16.113   11.5111  -        -        -      -        -      -        -      -          34.4515          42.4161          366.178           10             1590
T11   52    32   24.0631  23.8836  20.3357  7.1383   29.5609  48.0  85.0737  16.2317  68.0     9.1555   -        -      -        -      -        -      -          34.3085          40.9743          211.191            5             1600
T12   52    32   22.5511  27.5363  20.0037  10.0639  29.7155  48.0  87.8166  15.1623  72.0     12.6336  12.3489  -      -        -      -        -      -          33.4247          42.6294          482.284           15             1188
T13   50    32   26.8121  25.9401  19.8623  10.1499  37.1301  48.0  83.842   12.0339  76.0     12.8837  13.6413  32.0   -        -      -        -      -          33.2031          42.5523          319.971            8             1620
T14   50    32   26.2864  25.1227  19.4495  10.7168  32.4129  48.0  84.0794  13.1511  68.0     13.0204  12.8772  62.0   35.3909  -      -        -      -          33.2679          42.9967          212.962            5             1630
T15   52    32   24.9055  27.6046  21.5311  10.9336  26.5744  48.0  86.8522  13.0538  68.0     13.7035  12.445   50.0   46.0178  2.0    -        -      -          33.694           42.2357          282.158            8             1222
T16   50    32   24.9028  27.5852  18.784   10.0348  28.7728  48.0  88.3925  15.3395  66.0     14.0067  12.075   46.0   49.0406  0.0    12.2155  -      -          33.6536          42.3605          145.466            4             1250
T17   50    32   25.5083  24.9646  15.8655  7.4863   33.7597  48.0  89.2569  11.8518  66.0     11.2104  13.0357  44.0   51.0636  0.0    16.8669  76.0   -          33.5571          42.1601          347.206            9             1660
T18   52    32   24.633   24.8023  17.2285  8.0806   36.5143  48.0  87.6639  13.8296  66.0     11.094   11.6859  40.0   49.9313  0.0    17.2669  76.0   41.0       32.8891          41.4893          154.893            4             1670
T19   52    32   22.4841  27.5974  18.2948  9.4618   34.6483  48.0  89.5397  8.1067   66.0     11.2286  12.4661  40.0   48.3413  0.0    21.6188  76.0   100.0      32.7438          42.0233          373.299            9             1680
