      T1    T2   T3       T4       T5       T6       T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    48    28   -        -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.3896          42.2419          160.77             4             1500
T2    48    36   27.5979  -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.1672          42.4745          170.045            5             1510
T3    48    28   24.6193  18.6967  -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.3925          42.956           122.554            4             1520
T4    54    32   24.1522  31.2158  12.1978  -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.2229          42.4487          292.466            9             1530
T5    56    32   23.4002  30.6486  22.8479  7.5219   -        -        -        -        -       -        -        -      -        -      -        -      -          35.5017          42.9974          258.198            7             1540
T6    54    32   21.9158  30.7218  20.3579  9.8456   15.5642  -        -        -        -       -        -        -      -        -      -        -      -          34.0246          42.606           360.589           13             1108
T7    60    30   22.001   30.5413  18.4118  9.5107   25.9212  44.0     -        -        -       -        -        -      -        -      -        -      -          34.1299          42.5887          408.61            10             1560
T8    58    32   22.0997  30.4657  18.0623  10.0033  27.9287  48.0     39.3931  -        -       -        -        -      -        -      -        -      -          34.8117          42.1739           140.1             4             1570
T9    58    30   21.9551  32.3329  14.7913  9.3233   30.7596  48.6667  93.9668  9.827    -       -        -        -      -        -      -        -      -          34.7997          42.2932          550.243           15             1580
T10   60    26   25.3128  31.5425  16.2849  8.6424   30.2199  48.0     94.4249  19.0959  9.9767  -        -        -      -        -      -        -      -          33.9136          43.0069          535.929           15             1590
T11   56    26   22.5103  30.8043  17.1838  8.2217   30.2998  48.0     93.4024  24.3771  90.0    10.7811  -        -      -        -      -        -      -          34.0989          42.4327          426.314           10             1600
T12   54    22   22.0313  30.8396  17.9156  8.1337   28.4737  48.6667  93.9878  24.3043  82.0    9.8923   12.6246  -      -        -      -        -      -          34.1145          42.3888          128.559            4             1188
T13   60    28   25.4105  32.4195  18.1581  8.2826   29.6261  48.6667  90.2555  22.6923  82.0    8.0807   13.6637  22.0   -        -      -        -      -          33.727           42.8669          324.874            8             1620
T14   58    20   24.0714  32.0313  18.645   8.6539   27.4755  48.0     90.5117  23.0799  80.0    8.739    14.7375  60.0   36.9047  -      -        -      -          33.4879          43.8889          167.083            4             1630
T15   54    16   22.5834  30.7166  15.7979  8.6932   27.3065  44.0     92.8689  23.5683  74.0    11.1716  12.0518  40.0   47.1644  2.0    -        -      -          33.5243          42.8953          256.406            8             1222
T16   56    14   23.8711  29.9724  18.1221  8.7506   27.425   43.9487  90.9736  22.682   74.0    10.9922  10.9538  38.0   48.9306  2.0    11.2087  -      -          33.7938          42.8497          145.618            4             1250
T17   54    26   24.7375  27.7252  17.349   9.0222   31.3303  41.3333  94.7249  17.8028  82.0    10.3657  11.094   38.0   49.5055  2.0    16.3467  76.0   -          33.2074          42.8626          228.001            6             1660
T18   56    30   25.3036  29.2591  18.5598  9.1001   27.679   42.6667  91.8681  17.6315  82.0    10.7157  12.2982  40.0   50.0174  2.0    16.7172  76.0   41.0       32.7214          42.2197          157.875            4             1670
T19   54    28   24.7007  30.274   18.3461  9.7731   24.1678  48.0     91.9194  19.2233  84.0    11.3984  10.2933  40.0   51.0967  2.0    17.3426  78.0   100.0      31.9625          43.4059          286.656            7             1680
