      T1     T2     T3       T4       T5    T6       T7       T8       T9    T10      T11    T12      T13    T14      T15      T16      T17    T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  ----  -------  -------  -------  ----  -------  -----  -------  -----  -------  -------  -------  -----  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    44   6.5912   -        -        -     -        -        -        -     -        -      -        -      -        -        -        -      -      -            36.467           43.6009          185.928            5             1500
T2    52   20.6378  20.6631  -        -     -        -        -        -     -        -      -        -      -        -        -        -      -      -            35.5119          42.6932          511.554           15             1510
T3    58   24.6492  30.5965  25.924   -     -        -        -        -     -        -      -        -      -        -        -        -      -      -            35.3471          43.4867          249.445            8             1520
T4    54   20.0377  29.932   27.8052  32.0  -        -        -        -     -        -      -        -      -        -        -        -      -      -            35.3324          43.5438          198.691            6             1530
T5    52   20.0377  30.1126  27.0486  30.0  9.1331   -        -        -     -        -      -        -      -        -        -        -      -      -            35.9657          42.8804          137.754            4             1540
T6    56   20.0377  29.9249  25.9128  32.0  10.7545  9.7791   -        -     -        -      -        -      -        -        -        -      -      -            35.8829          42.8395          208.757            8             1108
T7    66   16.159   28.1917  29.1013  30.0  8.6473   19.7998  11.0817  -     -        -      -        -      -        -        -        -      -      -            34.3481          43.2106          490.659           15             1560
T8    62   21.1597  26.9935  26.5772  28.0  8.926    18.2216  13.1678  48.0  -        -      -        -      -        -        -        -      -      -            33.7468          43.1798          233.973            8             1148
T9    62   20.7544  27.7005  26.8025  34.0  8.8818   18.5861  12.6566  48.0  15.8444  -      -        -      -        -        -        -      -      -            34.4051          43.3658          134.384            4             1580
T10   66   24.7093  29.7128  25.7934  26.0  7.9964   20.1003  13.2252  48.0  90.0     76.0   -        -      -        -        -        -      -      -            33.8049          42.6757          538.642           13             1590
T11   64   26.9817  27.1315  25.842   32.0  7.5147   18.4054  13.4055  48.0  90.0     76.0   38.0205  -      -        -        -        -      -      -            34.1752          42.4053          137.336            4             1600
T12   66   27.6156  29.3271  24.903   26.0  8.9783   17.3892  14.2453  48.0  86.0     76.0   48.461   0.0    -        -        -        -      -      -            33.9404          43.0763          318.776           10             1192
T13   68   32.194   30.5992  24.6132  28.0  9.2845   17.3425  14.2348  48.0  86.0     76.0   49.1667  58.0   12.65    -        -        -      -      -            33.9961          44.5203          167.245            4             1620
T14   58   20.0377  30.7603  23.84    26.0  10.8749  17.4012  14.3469  48.0  82.0     76.0   51.1378  42.0   92.8013  8.2281   -        -      -      -            34.607           43.7171          313.536            8             1630
T15   62   30.7996  28.5514  26.3225  28.0  9.4836   18.4022  14.162   48.0  88.0     76.0   48.7968  42.0   87.3599  24.7971  13.5206  -      -      -            33.4082          42.7322          382.693           10             1640
T16   60   22.8764  27.0755  26.5656  30.0  9.8518   17.3173  14.0237  48.0  84.0     76.0   47.441   42.0   85.0897  25.1973  11.2701  2.0    -      -            34.0361          43.242           159.323            4             1650
T17   62   28.2101  27.1986  26.9243  30.0  9.3519   17.8217  13.7998  48.0  86.0     76.0   47.8782  40.0   86.8781  24.5351  9.8974   0.0    41.0   -            34.4219          43.0907          132.866            4             1260
T18   62   29.7861  28.4308  25.8469  28.0  9.407    17.3359  12.573   48.0  86.0     76.0   48.8615  36.0   89.1123  23.5057  7.5781   0.0    99.0   16.2144      33.5158          43.935           238.35             6             1670
T19   56   28.0307  29.2526  25.5883  30.0  10.8282  22.346   13.7374  48.0  88.0     76.0   50.8816  42.0   83.6245  20.1395  13.109   2.0    97.0   19.6213      34.6861          43.904           323.782            7             1680
