      T1     T2     T3       T4       T5    T6      T7       T8       T9    T10      T11    T12      T13    T14      T15      T16      T17    T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  ----  ------  -------  -------  ----  -------  -----  -------  -----  -------  -------  -------  -----  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    44   6.5912   -        -        -     -       -        -        -     -        -      -        -      -        -        -        -      -      -            35.7302          43.2024          185.928            5             1500
T2    52   20.3301  19.4672  -        -     -       -        -        -     -        -      -        -      -        -        -        -      -      -            34.6958          42.274           511.554           15             1510
T3    58   24.4587  30.2817  24.6117  -     -       -        -        -     -        -      -        -      -        -        -        -      -      -            34.5937          43.0715          249.445            8             1520
T4    54   19.8473  29.0325  27.328   32.0  -       -        -        -     -        -      -        -      -        -        -        -      -      -            34.5264          43.1115          198.691            6             1530
T5    52   19.8473  29.3511  26.6607  30.0  8.337   -        -        -     -        -      -        -      -        -        -        -      -      -            35.1433          42.4874          137.754            4             1540
T6    56   19.8473  29.1577  25.7355  32.0  9.6943  7.7179   -        -     -        -      -        -      -        -        -        -      -      -            35.075           42.4124          208.757            8             1108
T7    66   15.5465  27.5083  28.2582  30.0  7.0439  17.6236  9.8472   -     -        -      -        -      -        -        -        -      -      -            33.619           42.8212          490.659           15             1560
T8    62   20.5682  26.8268  25.9731  28.0  7.9059  17.0192  12.3739  48.0  -        -      -        -      -        -        -        -      -      -            33.0286          42.7981          233.973            8             1148
T9    62   20.3534  27.3739  26.1983  34.0  7.9229  17.4781  12.0166  48.0  15.8444  -      -        -      -        -        -        -      -      -            33.6669           42.99           134.384            4             1580
T10   66   24.5493  29.2323  25.1225  26.0  6.6876  18.5146  11.9679  48.0  90.0     76.0   -        -      -        -        -        -      -      -            33.0868          42.2619          538.642           13             1590
T11   64   26.8217  26.811   25.1968  32.0  6.2309  16.7844  12.1452  48.0  90.0     76.0   36.3771  -      -        -        -        -      -      -            33.4756          41.9795          137.336            4             1600
T12   66   27.4556  29.0066  24.2475  26.0  7.5978  15.8392  12.6917  48.0  86.0     76.0   47.25    0.0    -        -        -        -      -      -            33.2132          42.622           318.776           10             1192
T13   68   32.034   30.2786  23.9577  28.0  8.0057  15.7568  12.9864  48.0  86.0     76.0   47.9557  58.0   11.7153  -        -        -      -      -            33.2372          44.1197          167.245            4             1620
T14   58   19.8473  30.1974  23.2961  26.0  9.2925  15.4796  12.8033  48.0  82.0     76.0   49.4982  42.0   92.8013  7.5808   -        -      -      -            33.7098          43.2114          313.536            8             1630
T15   62   30.7996  27.7347  25.4192  28.0  8.5729  16.4558  12.7332  48.0  88.0     76.0   47.2288  42.0   87.3173  23.2104  12.4369  -      -      -            32.6943          42.3235          382.693           10             1640
T16   60   22.6859  26.2841  25.6879  30.0  8.7512  15.9846  12.7199  48.0  84.0     76.0   45.7447  42.0   84.6616  24.2102  10.5991  2.0    -      -            33.2288          42.813           159.323            4             1650
T17   62   28.0196  26.5045  26.0466  30.0  8.3064  16.5858  12.2025  48.0  86.0     76.0   46.5992  40.0   86.7271  23.462   9.6474   0.0    41.0   -            33.6243          42.6654          132.866            4             1260
T18   62   29.7861  27.6393  25.2324  28.0  8.1863  15.6395  11.3734  48.0  86.0     76.0   47.3992  36.0   88.742   22.2307  7.5781   0.0    99.0   14.745       32.7594          43.5251          238.35             6             1670
T19   56   27.723   28.5647  24.9739  30.0  9.1215  20.9896  12.0209  48.0  88.0     76.0   49.1197  42.0   83.3074  19.4     11.471   2.0    97.0   19.2656      33.8788          43.5107          323.782            7             1680
