       T1       T2     T3       T4    T5     T6    T7       T8       T9       T10      T11      T12      T13    T14    T15      T16      T17      T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  ----  -----  ----  -------  -------  -------  -------  -------  -------  -----  -----  -------  -------  -------  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   42.9845  15.4258  -        -     -      -     -        -        -        -        -        -        -      -      -        -        -        -        -            37.3357          43.4459          118.511            5             1082
T2   45.8338  95.888   76.0     -     -      -     -        -        -        -        -        -        -      -      -        -        -        -        -            36.5835          42.0411          477.249           15             1510
T3   49.0367  96.4859  76.0     48.0  -      -     -        -        -        -        -        -        -      -      -        -        -        -        -            36.6056          41.8325          119.065            4             1520
T4   48.1297  95.8702  76.0     48.0  41.0   -     -        -        -        -        -        -        -      -      -        -        -        -        -            36.918           41.6258          119.841            4             1530
T5   48.0015  96.3024  76.0     48.0  100.0  30.0  -        -        -        -        -        -        -      -      -        -        -        -        -            36.187           41.8079          261.98             8             1540
T6   39.2824  96.8976  76.0     48.0  100.0  32.0  12.2516  -        -        -        -        -        -      -      -        -        -        -        -            35.172           42.8186          364.271           10             1550
T7   49.4734  94.3781  76.0     48.0  100.0  32.0  12.3169  13.8134  -        -        -        -        -      -      -        -        -        -        -            35.7141          42.1313          188.155            5             1560
T8   40.9605  93.8323  76.0     48.0  100.0  32.0  15.0719  19.27    13.5805  -        -        -        -      -      -        -        -        -        -            35.643           42.822           347.399           10             1570
T9   39.7864  94.3575  76.0     48.0  87.0   32.0  13.8176  18.863   24.1672  7.4033   -        -        -      -      -        -        -        -        -            35.0995          43.309           282.921            8             1580
T10  39.5613  93.5395  76.0     48.0  87.0   32.0  13.3132  17.3696  21.8587  8.0598   49.1429  -        -      -      -        -        -        -        -            35.205           42.8603          120.335            4             1148
T11  40.2736  94.3966  76.0     48.0  84.0   32.0  14.1806  17.5122  20.5004  7.5002   62.0     10.1345  -      -      -        -        -        -        -            34.8207          43.0598          250.756            6             1600
T12  39.3844  95.0874  76.0     48.0  81.0   30.0  13.4948  14.4758  18.4184  9.7296   70.0     13.3018  2.0    -      -        -        -        -        -            34.4671          43.0382          297.958           10             1188
T13  43.4099  95.0874  76.0     48.0  81.0   30.0  14.1744  13.4102  20.3191  8.985    72.0     12.6759  2.0    32.0   -        -        -        -        -            34.6068          42.9933          117.918            4             1220
T14  43.6642  94.3903  60.0     48.0  81.0   30.0  13.614   12.2608  19.9394  9.1961   70.0     12.5783  0.0    60.0   26.2924  -        -        -        -            34.4171          42.908           168.031            4             1630
T15  43.5926  95.0874  76.0     48.0  81.0   32.0  11.2928  14.0478  19.69    7.9196   58.0     13.25    0.0    36.0   25.798   9.6624   -        -        -            34.4418          44.2076          180.836            5             1640
T16  46.7771  94.1049  76.0     48.0  79.0   30.0  10.1909  9.7525   19.6595  9.5658   56.0     13.0144  0.0    40.0   26.1919  16.465   11.0982  -        -            33.9482          43.8128          325.344            9             1650
T17  44.1649  93.5269  74.0     48.0  81.0   32.0  15.9     13.1994  21.2754  10.0976  56.0     12.057   2.0    36.0   27.1747  17.1758  25.4674  10.1778  -            34.338           43.7023          178.859            4             1660
T18  38.8055  94.6834  74.0     48.0  81.0   28.0  13.4056  14.1127  19.9403  9.106    52.0     12.9342  0.0    46.0   25.9027  18.4881  24.1141  90.0     20.3205      33.7683          42.1202          407.253            9             1670
T19  44.9767   94.42   75.3333  48.0  81.0   32.0  12.3463  18.0966  19.5178  9.396    54.0     12.9736  0.0    54.0   27.3393  11.766   26.8881  86.0     29.3131      34.5395          43.4955          154.934            4             1680
